grid_id,x_coord,y_coord,year,count_31,count_32,count_33,count_total,cluster_n,is_cluster,value_added_31,labor_total_31,wages_total_31,machinery_31,computers_31,value_added_32,labor_total_32,wages_total_32,machinery_32,computers_32,value_added_33,labor_total_33,wages_total_33,machinery_33,computers_33,dist_usa_km,dist_cdmx_km,dist_port_km
1,913792.0295,1956649.062,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423.7195269,2197.6941,1781.606517
1,913792.0295,1956649.062,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423.7195269,2197.6941,1781.606517
1,913792.0295,1956649.062,2019,0,0,0,0,0,0,,,,,,,,,,,,,,,,423.7195269,2197.6941,1781.606517
1,913792.0295,1956649.062,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423.7195269,2197.6941,1781.606517
2,913792.0295,1961649.062,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419.1226689,2200.263682,1784.895801
2,913792.0295,1961649.062,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419.1226689,2200.263682,1784.895801
2,913792.0295,1961649.062,2019,0,0,0,0,0,0,,,,,,,,,,,,,,,,419.1226689,2200.263682,1784.895801
2,913792.0295,1961649.062,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419.1226689,2200.263682,1784.895801
3,913792.0295,1966649.062,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414.5351441,2202.841616,1788.193015
3,913792.0295,1966649.062,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414.5351441,2202.841616,1788.193015
3,913792.0295,1966649.062,2019,0,0,0,0,0,0,,,,,,,,,,,,,,,,414.5351441,2202.841616,1788.193015
3,913792.0295,1966649.062,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414.5351441,2202.841616,1788.193015
4,913792.0295,1971649.062,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409.9572658,2205.427873,1791.498115
4,913792.0295,1971649.062,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409.9572658,2205.427873,1791.498115
4,913792.0295,1971649.062,2019,0,0,0,0,0,0,,,,,,,,,,,,,,,,409.9572658,2205.427873,1791.498115
4,913792.0295,1971649.062,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409.9572658,2205.427873,1791.498115
5,913792.0295,1976649.062,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405.3893608,2208.022422,1794.811058
5,913792.0295,1976649.062,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405.3893608,2208.022422,1794.811058
5,913792.0295,1976649.062,2019,0,0,0,0,0,0,,,,,,,,,,,,,,,,405.3893608,2208.022422,1794.811058
5,913792.0295,1976649.062,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405.3893608,2208.022422,1794.811058
6,913792.0295,1981649.062,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400.8317701,2210.625236,1798.1318
6,913792.0295,1981649.062,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400.8317701,2210.625236,1798.1318
6,913792.0295,1981649.062,2019,0,0,0,0,0,0,,,,,,,,,,,,,,,,400.8317701,2210.625236,1798.1318
6,913792.0295,1981649.062,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400.8317701,2210.625236,1798.1318
7,913792.0295,1986649.062,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396.2848496,2213.236284,1801.460299
7,913792.0295,1986649.062,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396.2848496,2213.236284,1801.460299
7,913792.0295,1986649.062,2019,0,0,0,0,0,0,,,,,,,,,,,,,,,,396.2848496,2213.236284,1801.460299
7,913792.0295,1986649.062,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396.2848496,2213.236284,1801.460299
